Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Rain Intensity_log,Interval Rain_log,Total Rain_log,Wind Direction_log,Maximum Wind Speed_log,Solar Radiation_log,gust_factor,barometric_pressure_rolling_7h,barometric_pressure_rolling_12h,humidity_rolling_12h,humidity_rolling_24h
17.0,14.8,73,0.0,0.0,7.3,0,105,3.2,3.6,996.3,0,352.0,15.1,0.0,0.0,2.1162555148025524,4.663439094112067,1.5260563034950494,0.0,1.2413793103448276,-1.0,-1.0,7.0,7.0
16.5,14.8,74,0.0,0.0,7.3,0,74,1.1,1.5,996.3,0,352.0,15.1,0.0,0.0,2.1162555148025524,4.31748811353631,0.9162907318741552,0.0,0.5172413793103449,-1.0,-1.0,8.0,8.0
16.5,14.8,74,0.0,0.0,7.3,0,145,1.6,1.9,995.6,0,352.0,15.1,0.0,0.0,2.1162555148025524,4.983606621708336,1.0647107369924282,0.0,0.6551724137931034,-1.6999999999999318,-1.6999999999999318,8.0,8.0
16.56,14.8,73,0.0,0.0,7.3,0,123,2.1,2.4,995.3,0,352.0,15.1,0.0,0.0,2.1162555148025524,4.820281565605037,1.2237754316221157,0.0,0.8275862068965517,-2.0,-2.0,7.0,7.0
17.56,14.8,74,0.0,0.0,7.3,0,143,2.0,2.5,995.6,0,352.0,15.1,0.0,0.0,2.1162555148025524,4.969813299576001,1.252762968495368,0.0,0.8620689655172414,-1.6999999999999318,-1.6999999999999318,8.0,8.0
20.56,14.8,66,0.0,0.0,7.3,0,175,2.2,2.5,994.9,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.170483995038151,1.252762968495368,0.0,0.8620689655172414,-1.7000000000000457,-2.3999999999999773,0.0,0.0
22.56,14.8,61,0.0,0.0,7.3,0,168,3.2,3.6,995.3,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.1298987149230735,1.5260563034950494,0.6931471805599453,1.2413793103448276,-1.0,-2.0,-5.0,-5.0
22.5,14.8,64,0.0,0.0,7.3,0,204,3.0,3.7,994.6,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.3230099791384085,1.547562508716013,0.0,1.2758620689655171,-1.6999999999999318,-2.699999999999932,-2.0,-2.0
20.56,14.8,70,0.0,0.0,7.3,0,148,3.4,3.5,993.9,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.003946305945459,1.5040773967762742,0.6931471805599453,1.206896551724138,-1.7000000000000457,-3.3999999999999773,4.0,4.0
17.39,14.8,83,0.0,0.0,7.3,0,146,1.7,2.0,993.9,30,352.0,15.1,0.0,0.0,2.1162555148025524,4.990432586778736,1.0986122886681098,3.4339872044851463,0.6896551724137931,-1.3999999999999773,-3.3999999999999773,18.0,17.0
17.39,14.8,84,0.0,0.0,7.3,0,190,1.1,1.3,994.6,122,352.0,15.1,0.0,0.0,2.1162555148025524,5.25227342804663,0.832909122935104,4.812184355372417,0.4482758620689655,-1.0,-2.0,15.0,18.0
21.06,14.8,81,0.0,8.79,7.3,0,292,2.6,3.6,994.2,90,352.0,15.1,0.0,2.281361456542419,2.1162555148025524,5.680172609017068,1.5260563034950494,4.51085950651685,1.2413793103448276,0.3000000000000682,-1.3999999999999773,7.0,15.0
21.28,14.8,78,0.0,0.0,7.3,0,179,3.4,3.8,990.9,124,352.0,15.1,0.0,0.0,2.1162555148025524,5.19295685089021,1.5686159179138452,4.8283137373023015,1.3103448275862069,-3.300000000000068,-3.0,8.0,12.0
26.89,14.8,56,0.0,0.08,7.3,0,204,2.6,3.0,990.2,146,352.0,15.1,0.0,0.0769610411361283,2.1162555148025524,5.3230099791384085,1.3862943611198906,4.990432586778736,1.0344827586206895,-4.0,-3.699999999999932,-27.0,-10.0
27.28,14.8,54,0.0,0.0,7.3,0,213,5.8,6.3,989.8,102,352.0,15.1,0.0,0.0,2.1162555148025524,5.365976015021851,1.9878743481543455,4.634728988229636,2.1724137931034484,-4.400000000000091,-4.800000000000068,-30.0,-11.0
27.0,14.8,56,0.0,0.0,7.3,0,210,2.3,2.7,990.2,93,352.0,15.1,0.0,0.0,2.1162555148025524,5.351858133476067,1.308332819650179,4.543294782270004,0.9310344827586208,-0.6999999999999318,-4.0,-25.0,-13.0
27.0,14.8,52,0.0,0.0,7.3,0,221,1.5,1.9,990.5,18,352.0,15.1,0.0,0.0,2.1162555148025524,5.402677381872279,1.0647107369924282,2.9444389791664403,0.6551724137931034,-0.3999999999999772,-3.7000000000000455,-29.0,-21.0
